GRB name,T100,Cat
GRB150817A,75.5,L
GRB150811A,37.68,L
GRB150801B,464.1,L
GRB150728A,0.96,S
GRB150727A,104.64,L
GRB150724A,326.49,L
GRB150722A,72.08,L
GRB150720A,305.51,L
GRB150716A,51.34,L
GRB150711A,104.3,L
GRB150710B,,Discarded
GRB150710A,0.21,S
GRB150626B,48.0,L
GRB150626A,121.73,L
GRB150616A,753.92,L
GRB150615A,39.34,L
GRB150607A,28.13,L
GRB150530B,3.0,L
GRB150530A,8.06,L
GRB150527A,124.03,L
GRB150513A,183.69,L
GRB150430A,119.63,L
GRB150428B,161.8,L
GRB150428A,77.58,L
GRB150423A,0.23,S
GRB150413A,281.04,L
GRB150407A,,Discarded
GRB150403A,228.52,L
GRB150402A,14.4,L
GRB150323C,189.76,L
GRB150323B,65.6,L
GRB150323A,192.95,L
GRB150318A,119.52,L
GRB150317A,24.43,L
GRB150314A,103.61,L
GRB150309A,316.39,L
GRB150302A,29.38,L
GRB150301B,24.98,L
GRB150301A,0.56,S
GRB150222A,28.05,L
GRB150213B,287.0,L
GRB150212A,19.78,L
GRB150211A,20.8,L
GRB150206A,411.92,L
GRB150204A,19.0,L
GRB150203A,29.53,L
GRB150202A,28.29,L
GRB150201A,55.95,L
GRB150120B,28.18,L
GRB150120A,1.36,L
GRB150110B,11.71,L
GRB150103A,58.62,L
GRB150101B,0.02,Discarded
GRB150101A,0.07,Discarded
GRB141229A,6.4,Discarded
GRB141225A,124.85,L
GRB141221A,44.44,L
GRB141220A,8.2,L
GRB141212B,12.2,L
GRB141212A,0.34,S
GRB141205A,2.62,L
GRB141130A,82.76,L
GRB141121A,552.71,L
GRB141109B,227.19,L
GRB141109A,322.56,L
GRB141102A,14.4,Discarded
GRB141031B,17.26,L
GRB141031A,912.0,L
GRB141026A,166.94,L
GRB141022A,9.56,L
GRB141020A,18.84,L
GRB141017A,66.8,L
GRB141015A,13.0,L
GRB141005A,4.18,L
GRB141004A,6.19,L
GRB140930B,0.96,S
GRB140927A,8.27,L
GRB140919A,173.07,L
GRB140916A,79.97,L
GRB140909A,,Discarded
GRB140907A,144.0,L
GRB140903A,0.36,S
GRB140901B,6.4,L
GRB140828A,25.02,L
GRB140824A,3.38,L
GRB140818B,35.26,L
GRB140817A,318.9,L
GRB140730A,44.54,L
GRB140719B,65.0,L
GRB140719A,48.0,L
GRB140716A-2,136.0,L
GRB140716A-1,136.0,L
GRB140713A,6.78,L
GRB140710A,4.0,L
GRB140709B,219.22,L
GRB140709A,131.67,L
GRB140706A,58.74,L
GRB140703A,137.54,L
GRB140629A,54.85,L
GRB140628A,12.36,L
GRB140626A,17.54,L
GRB140622A,0.15,S
GRB140619A,303.68,L
GRB140614B,58.96,L
GRB140614A,96.82,L
GRB140611A,3.2,Discarded
GRB140610A,112.38,L
GRB140607A,103.46,L
GRB140606A,0.39,S
GRB140529A,13.09,L
GRB140521A,11.3,L
GRB140518A,64.02,L
GRB140516A,0.32,S
GRB140515A,25.79,L
GRB140512A,200.99,L
GRB140509A,26.86,L
GRB140506A,120.37,L
GRB140502A,19.06,L
GRB140430A,177.88,L
GRB140428A,20.02,L
GRB140423A,239.04,L
GRB140419A,134.04,L
GRB140414A,0.53,S
GRB140413A,164.08,L
GRB140412A,48.0,L
GRB140408A,4.13,L
GRB140402A,1.41,S
GRB140331A,249.1,L
GRB140323A,136.58,L
GRB140320A,0.64,S
GRB140318A,9.43,L
GRB140311B,,Discarded
GRB140311A,76.67,L
GRB140305A,23.89,L
GRB140304A,17.31,L
GRB140302A,116.2,L
GRB140301A,40.8,L
GRB140215A,37.33,L
GRB140213A,87.74,L
GRB140211A,141.05,L
GRB140209A,27.47,S
GRB140206A,294.36,L
GRB140129B,1.51,L
GRB140129A,3.0,L
GRB140118A,102.98,L
GRB140114A,183.08,L
GRB140108A,128.17,L
GRB140103A,19.46,L
GRB140102A,131.37,L
GRB131229A,96.0,L
GRB131227A,20.42,L
GRB131226A,8.96,L
GRB131224B,9.62,L
GRB131205A,20.76,L
GRB131202A,37.26,L
GRB131128A,3.0,L
GRB131127A,111.61,L
GRB131120A,135.36,L
GRB131117A,12.42,L
GRB131110A,84.8,L
GRB131105A,118.54,Discarded
GRB131103A,18.54,L
GRB131031A,6.4,Discarded
GRB131030A,148.87,L
GRB131024B,109.3,L
GRB131024A,128.0,L
GRB131018A,96.64,L
GRB131004A,2.05,L
GRB131002B,63.0,L
GRB131002A,60.93,L
GRB131001A,6.0,L
GRB130929A,14.34,L
GRB130925A,962.98,L
GRB130919A,128.22,L
GRB130913A,44.8,Discarded
GRB130912A,0.32,S
GRB130907A,841.02,L
GRB130831B,44.46,L
GRB130831A,43.23,L
GRB130829A,64.04,L
GRB130822A,0.05,Discarded
GRB130816B,11.4,L
GRB130816A,30.64,L
GRB130812A,8.79,L
GRB130807A,326.03,L
GRB130806A,6.26,L
GRB130803A,45.62,L
GRB130727A,25.46,L
GRB130725B,6.28,L
GRB130725A,113.23,L
GRB130722A,256.96,L
GRB130719A,164.35,L
GRB130716A,106.74,L
GRB130708A,11.2,L
GRB130701A,6.49,L
GRB130627B,64.0,L
GRB130627A,20.32,L
GRB130626A,0.19,S
GRB130625A,57.76,L
GRB130623A,19.98,L
GRB130615A,361.29,L
GRB130612A,4.0,L
GRB130610A,69.48,L
GRB130609B,317.7,L
GRB130609A,8.46,L
GRB130608A,156.92,L
GRB130606A,298.26,L
GRB130605A,13.82,L
GRB130604A,96.21,L
GRB130603B,0.25,S
GRB130603A,125.79,L
GRB130529A,110.33,L
GRB130528A,720.0,L
GRB130527A,176.0,L
GRB130521A,13.28,L
GRB130518B,8.0,L
GRB130518A,91.2,Discarded
GRB130515A,0.37,S
GRB130514A,280.73,L
GRB130511A,2.9,S
GRB130508A,48.58,L
GRB130505A,366.29,L
GRB130504A,130.69,L
GRB130502A,10.4,L
GRB130427B,30.11,L
GRB130427A,711.19,L
GRB130420B,20.66,L
GRB130420A,203.12,L
GRB130419A,139.42,L
GRB130418A,313.14,L
GRB130408A,4.66,L
GRB130327A,8.04,L
GRB130315A,266.37,L
GRB130313A,0.2,S
GRB130306A,313.65,L
GRB130305A,57.6,Discarded
GRB130216B,17.6,Discarded
GRB130216A,10.47,L
GRB130215A,79.55,L
GRB130211A,35.72,L
GRB130206A,156.0,L
GRB130131B,4.65,L
GRB130131A,53.02,L
GRB130122A,89.09,L
GRB130102A,168.96,L
GRB121229A,146.48,L
GRB121226A,1.16,L
GRB121217A,801.49,L
GRB121212A,8.11,L
GRB121211A,197.13,L
GRB121209A,46.88,L
GRB121202A,21.19,L
GRB121201A,46.0,L
GRB121128A,41.69,L
GRB121125A,86.82,L
GRB121123A,425.47,L
GRB121117A,29.6,L
GRB121108A,138.2,L
GRB121102A,75.21,L
GRB121031A,307.31,L
GRB121028A,3.28,L
GRB121027A,144.7,L
GRB121024A,82.37,L
GRB121017A,5.28,L
GRB121014A,80.0,L
GRB121011A,117.04,L
GRB121001A,170.7,L
GRB120927A,69.07,L
GRB120923A,29.57,L
GRB120922A,238.31,L
GRB120918A,26.78,L
GRB120913B,162.46,L
GRB120913A,40.52,L
GRB120911A,25.72,L
GRB120909A,598.17,L
GRB120907A,6.96,L
GRB120819A,78.59,L
GRB120817B,0.11,Discarded
GRB120817A,33.02,L
GRB120816A,4.78,L
GRB120815A,12.21,L
GRB120811C,41.06,L
GRB120811A,36.38,L
GRB120807A,24.4,L
GRB120805A,48.0,L
GRB120804A,1.0,S
GRB120803B,54.73,L
GRB120803A,9.99,L
GRB120802A,63.63,L
GRB120729A,144.89,L
GRB120728A,24.18,L
GRB120724A,98.63,L
GRB120722A,42.94,L
GRB120714B,175.41,L
GRB120714A,24.0,L
GRB120712A,21.1,L
GRB120711B,63.49,L
GRB120703A,77.1,L
GRB120701A,15.37,L
GRB120630A,0.64,S
GRB120624B,207.9,L
GRB120612A,108.39,L
GRB120521C,32.9,L
GRB120521B,169.7,L
GRB120521A,0.58,S
GRB120514A,174.3,L
GRB120422A,62.4,L
GRB120404A,45.76,L
GRB120403B,8.29,L
GRB120403A,1.59,L
GRB120401A,145.69,L
GRB120328A,37.81,L
GRB120327A,90.36,L
GRB120326A,90.58,L
GRB120324A,292.97,L
GRB120320A,29.87,L
GRB120312A,17.34,L
GRB120311B,37.7,L
GRB120311A,4.6,L
GRB120308A,82.96,L
GRB120305A,0.13,S
GRB120302A,52.8,L
GRB120229A,0.28,S
GRB120224A,8.0,L
GRB120219A,98.19,L
GRB120218A,35.01,Discarded
GRB120215A,9.98,L
GRB120213A,80.77,L
GRB120212A,6.0,L
GRB120211A,73.98,L
GRB120121A,30.78,L
GRB120119A,227.0,L
GRB120118B,29.4,L
GRB120116A,60.01,L
GRB120114A,51.2,L
GRB120106A,68.92,L
GRB120102A,53.17,L
GRB111229A,27.23,L
GRB111228A,128.25,L
GRB111225A,121.28,L
GRB111215A,409.4,L
GRB111212A,68.42,L
GRB111210A,2.69,S
GRB111209A,981.16,L
GRB111208A,184.0,L
GRB111207A,16.0,L
GRB111204A,48.0,L
GRB111201A,20.8,L
GRB111129A,8.98,L
GRB111126A,0.71,S
GRB111123A,490.0,L
GRB111121A,138.6,S
GRB111117A,0.5,S
GRB111109A,14.0,L
GRB111107A,37.55,L
GRB111103B,257.33,L
GRB111103A,12.56,L
GRB111029A,8.47,L
GRB111026A,4.13,L
GRB111022B,108.01,L
GRB111022A,35.28,L
GRB111020A,0.43,S
GRB111018A,41.38,L
GRB111016A,583.14,L
GRB111008A,71.42,L
GRB111005A,28.1,L
GRB110928A,28.96,L
GRB110921A,37.61,L
GRB110915A,104.68,L
GRB110827A,9.17,L
GRB110820A,274.4,L
GRB110818A,131.56,L
GRB110808A,45.04,L
GRB110801A,409.08,L
GRB110731A,81.33,L
GRB110726A,5.88,L
GRB110719A,56.08,L
GRB110715A,24.0,L
GRB110709B,882.85,L
GRB110709A,60.77,L
GRB110625A,146.53,L
GRB110610A,70.49,L
GRB110604A,,Discarded
GRB110530A,66.24,L
GRB110521A,108.0,L
GRB110520A,27.65,L
GRB110519A,41.91,L
GRB110503A,210.16,L
GRB110422A,47.92,L
GRB110420B,0.1,Discarded
GRB110420A,21.92,L
GRB110414A,171.3,L
GRB110412A,27.23,L
GRB110411A,103.22,L
GRB110407A,181.42,L
GRB110402A,62.91,L
GRB110319B,35.7,L
GRB110319A,31.32,L
GRB110318B,5.38,L
