GRB name,T90,Type
GRB141225A,86.15,L
GRB141221A,36.82,L
GRB141220A,7.23,L
GRB141212B,10.51,L
GRB141212A,0.29,S
GRB141205A,1.66,L
GRB141130A,62.86,L
GRB141121A,481.0,L
GRB141109B,220.5,L
GRB141109A,200.19,L
GRB141102A,14.4,Discarded
GRB141031B,15.62,L
GRB141031A,464.0,L
GRB141026A,139.48,L
GRB141022A,8.72,L
GRB141020A,14.9,L
GRB141017A,55.81,L
GRB141015A,11.0,L
GRB141005A,3.47,L
GRB141004A,3.92,L
GRB140930B,0.84,S
GRB140927A,6.26,L
GRB140919A,152.3,L
GRB140916A,68.98,L
GRB140909A,,Discarded
GRB140907A,80.0,L
GRB140903A,0.3,S
GRB140901B,6.4,L
GRB140828A,19.15,L
GRB140824A,3.08,L
GRB140818B,31.55,L
GRB140817A,258.34,L
GRB140730A,40.9,L
GRB140719B,54.0,L
GRB140719A,48.0,L
GRB140716A-2,124.8,L
GRB140716A-1,124.8,L
GRB140713A,6.02,L
GRB140710A,3.0,L
GRB140709B,156.73,L
GRB140709A,105.19,L
GRB140706A,47.84,L
GRB140703A,68.64,L
GRB140629A,38.27,L
GRB140628A,10.54,L
GRB140626A,16.16,L
GRB140622A,0.13,S
GRB140619A,233.05,L
GRB140614B,49.87,L
GRB140614A,77.39,L
GRB140611A,3.2,Discarded
GRB140610A,93.25,L
GRB140607A,94.77,L
GRB140606A,0.34,S
GRB140529A,8.14,L
GRB140521A,9.88,L
GRB140518A,60.52,L
GRB140516A,0.26,S
GRB140515A,23.42,L
GRB140512A,154.11,L
GRB140509A,23.22,L
GRB140506A,111.1,L
GRB140502A,15.12,L
GRB140430A,173.59,L
GRB140428A,17.42,L
GRB140423A,134.14,L
GRB140419A,80.08,L
GRB140414A,0.5,S
GRB140413A,132.98,L
GRB140412A,48.0,L
GRB140408A,3.63,L
GRB140402A,0.9,S
GRB140331A,209.66,L
GRB140323A,106.49,L
GRB140320A,0.51,S
GRB140318A,7.6,L
GRB140311B,,Discarded
GRB140311A,70.48,L
GRB140305A,20.3,L
GRB140304A,14.78,L
GRB140302A,98.72,L
GRB140301A,27.8,L
GRB140215A,25.63,L
GRB140213A,59.93,L
GRB140211A,109.53,L
GRB140209A,20.43,S
GRB140206A,94.19,L
GRB140129B,1.36,L
GRB140129A,3.0,L
GRB140118A,84.09,L
GRB140114A,139.95,L
GRB140108A,95.23,L
GRB140103A,17.34,L
GRB140102A,55.08,L
GRB131229A,48.0,L
GRB131227A,17.99,L
GRB131226A,7.23,L
GRB131224B,8.35,L
GRB131205A,20.34,L
GRB131202A,30.2,L
GRB131128A,3.0,L
GRB131127A,94.97,L
GRB131120A,130.43,L
GRB131117A,10.88,L
GRB131110A,76.8,L
GRB131105A,112.21,Discarded
GRB131103A,15.21,L
GRB131031A,6.4,Discarded
GRB131030A,39.42,L
GRB131024B,96.82,L
GRB131024A,112.0,L
GRB131018A,73.22,L
GRB131004A,1.54,L
GRB131002B,52.0,L
GRB131002A,56.53,L
GRB131001A,5.0,L
GRB130929A,12.24,L
GRB130925A,160.3,L
GRB130919A,99.68,L
GRB130913A,41.6,Discarded
GRB130912A,0.28,S
GRB130907A,364.37,L
GRB130831B,37.58,L
GRB130831A,30.19,L
GRB130829A,51.88,L
GRB130822A,0.04,Discarded
GRB130816B,8.68,L
GRB130816A,29.98,L
GRB130812A,7.63,L
GRB130807A,293.04,L
GRB130806A,5.78,L
GRB130803A,43.57,L
GRB130727A,13.56,L
GRB130725B,4.78,L
GRB130725A,101.52,L
GRB130722A,98.37,L
GRB130719A,146.97,L
GRB130716A,87.67,L
GRB130708A,11.2,L
GRB130701A,4.38,L
GRB130627B,48.0,L
GRB130627A,18.05,L
GRB130626A,0.16,S
GRB130625A,41.27,L
GRB130623A,17.62,L
GRB130615A,332.56,L
GRB130612A,4.0,L
GRB130610A,47.72,L
GRB130609B,211.17,L
GRB130609A,7.06,L
GRB130608A,151.85,L
GRB130606A,276.66,L
GRB130605A,10.18,L
GRB130604A,76.28,L
GRB130603B,0.18,S
GRB130603A,69.13,L
GRB130529A,87.59,L
GRB130528A,640.0,L
GRB130527A,64.0,L
GRB130521A,10.96,L
GRB130518B,8.0,L
GRB130518A,81.6,Discarded
GRB130515A,0.3,S
GRB130514A,214.19,L
GRB130511A,2.74,S
GRB130508A,42.91,L
GRB130505A,89.34,L
GRB130504A,120.03,L
GRB130502A,7.57,L
GRB130427B,25.9,L
GRB130427A,244.33,L
GRB130420B,12.64,L
GRB130420A,121.14,L
GRB130419A,85.58,L
GRB130418A,274.92,L
GRB130408A,4.24,L
GRB130327A,6.37,L
GRB130315A,230.51,L
GRB130313A,0.17,S
GRB130306A,272.38,L
GRB130305A,52.8,Discarded
GRB130216B,17.6,Discarded
GRB130216A,6.52,L
GRB130215A,66.22,L
GRB130211A,30.75,L
GRB130206A,121.0,L
GRB130131B,4.3,L
GRB130131A,51.52,L
GRB130122A,76.54,L
GRB130102A,132.78,L
GRB121229A,111.46,L
GRB121226A,1.01,L
GRB121217A,778.09,L
GRB121212A,6.06,L
GRB121211A,182.7,L
GRB121209A,42.92,L
GRB121202A,19.54,L
GRB121201A,38.0,L
GRB121128A,23.43,L
GRB121125A,52.25,L
GRB121123A,326.09,L
GRB121117A,23.3,L
GRB121108A,89.55,L
GRB121102A,54.68,L
GRB121031A,226.2,L
GRB121028A,2.88,L
GRB121027A,80.09,L
GRB121024A,67.97,L
GRB121017A,4.61,L
GRB121014A,80.0,L
GRB121011A,97.24,L
GRB121001A,147.82,L
GRB120927A,35.06,L
GRB120923A,26.08,L
GRB120922A,168.22,L
GRB120918A,25.1,L
GRB120913B,122.59,L
GRB120913A,36.04,L
GRB120911A,21.47,L
GRB120909A,220.6,L
GRB120907A,6.08,L
GRB120819A,71.02,L
GRB120817B,0.07,Discarded
GRB120817A,28.21,L
GRB120816A,4.43,L
GRB120815A,7.23,L
GRB120811C,24.34,L
GRB120811A,29.01,L
GRB120807A,19.88,L
GRB120805A,48.0,L
GRB120804A,0.81,S
GRB120803B,39.01,L
GRB120803A,8.89,L
GRB120802A,50.29,L
GRB120729A,93.93,L
GRB120728A,20.98,L
GRB120724A,77.92,L
GRB120722A,36.32,L
GRB120714B,157.31,L
GRB120714A,20.0,L
GRB120712A,14.81,L
GRB120711B,60.1,L
GRB120703A,51.7,L
GRB120701A,14.16,L
GRB120630A,0.6,S
GRB120624B,179.66,L
GRB120612A,90.28,L
GRB120521C,27.07,L
GRB120521B,146.83,L
GRB120521A,0.51,S
GRB120514A,164.34,L
GRB120422A,60.35,L
GRB120404A,38.72,L
GRB120403B,7.28,L
GRB120403A,1.4,L
GRB120401A,130.27,L
GRB120328A,29.93,L
GRB120327A,63.53,L
GRB120326A,69.48,L
GRB120324A,118.42,L
GRB120320A,24.98,L
GRB120312A,14.16,L
GRB120311B,29.69,L
GRB120311A,3.48,L
GRB120308A,61.26,L
GRB120305A,0.1,S
GRB120302A,49.6,L
GRB120229A,0.24,S
GRB120224A,7.0,L
GRB120219A,92.53,L
GRB120218A,31.38,Discarded
GRB120215A,7.92,L
GRB120213A,41.03,L
GRB120212A,5.0,L
GRB120211A,64.32,L
GRB120121A,26.8,L
GRB120119A,68.0,L
GRB120118B,20.3,L
GRB120116A,38.04,L
GRB120114A,48.0,L
GRB120106A,63.5,L
GRB120102A,38.71,L
GRB111229A,25.37,L
GRB111228A,101.24,L
GRB111225A,105.73,L
GRB111215A,373.82,L
GRB111212A,56.3,L
GRB111210A,2.52,S
GRB111209A,810.97,L
GRB111208A,168.0,L
GRB111207A,16.0,L
GRB111204A,48.0,L
GRB111201A,20.8,L
GRB111129A,8.48,L
GRB111126A,0.67,S
GRB111123A,290.0,L
GRB111121A,113.33,S
GRB111117A,0.46,S
GRB111109A,13.0,L
GRB111107A,31.07,L
GRB111103B,144.78,L
GRB111103A,11.62,L
GRB111029A,7.2,L
GRB111026A,3.58,L
GRB111022B,83.03,L
GRB111022A,22.82,L
GRB111020A,0.38,S
GRB111018A,32.71,L
GRB111016A,549.0,L
GRB111008A,62.85,L
GRB111005A,23.21,L
GRB110928A,20.88,L
GRB110921A,32.55,L
GRB110915A,79.57,L
GRB110827A,8.52,L
